NOMBRE,LAT,LON,ALTI,FECHA,RR,TM
BEDARIEUX,43.6398,3.146,373,18/03/2026,0.1,9.8
BEDARIEUX,43.6398,3.146,373,19/03/2026,0.0,10.15
BEDARIEUX,43.6398,3.146,373,20/03/2026,0.0,8.5
BEDARIEUX,43.6398,3.146,373,21/03/2026,0.0,8.6
BEDARIEUX,43.6398,3.146,373,22/03/2026,1.3,8.3
BEDARIEUX,43.6398,3.146,373,23/03/2026,0.0,10.15
BEDARIEUX,43.6398,3.146,373,24/03/2026,0.2,11.5
BEDARIEUX,43.6398,3.146,373,25/03/2026,0.4,8.9
BEDARIEUX,43.6398,3.146,373,26/03/2026,0.4,8.85
BEDARIEUX,43.6398,3.146,373,27/03/2026,0.6,9.15
BEDARIEUX,43.6398,3.146,373,28/03/2026,1.0,8.65
BEDARIEUX,43.6398,3.146,373,29/03/2026,0.8,8.6
BEDARIEUX,43.6398,3.146,373,30/03/2026,1.4,9.0
BEDARIEUX,43.6398,3.146,373,31/03/2026,1.0,9.3
BEDARIEUX,43.6398,3.146,373,01/04/2026,1.6,9.75
BEZIERS-COURTADE,43.3343,3.155,25,18/03/2026,0.0,10.65
BEZIERS-COURTADE,43.3343,3.155,25,19/03/2026,0.0,12.6
BEZIERS-COURTADE,43.3343,3.155,25,20/03/2026,0.0,10.1
BEZIERS-COURTADE,43.3343,3.155,25,21/03/2026,0.0,10.65
BEZIERS-COURTADE,43.3343,3.155,25,22/03/2026,0.4,9.95
BEZIERS-COURTADE,43.3343,3.155,25,23/03/2026,0.0,11.95
BEZIERS-COURTADE,43.3343,3.155,25,24/03/2026,0.0,13.5
BEZIERS-COURTADE,43.3343,3.155,25,25/03/2026,0.0,10.4
BEZIERS-COURTADE,43.3343,3.155,25,26/03/2026,0.0,9.8
BEZIERS-COURTADE,43.3343,3.155,25,27/03/2026,0.0,11.6
BEZIERS-COURTADE,43.3343,3.155,25,28/03/2026,0.0,10.85
BEZIERS-COURTADE,43.3343,3.155,25,29/03/2026,0.0,11.05
BEZIERS-COURTADE,43.3343,3.155,25,30/03/2026,0.2,11.5
BEZIERS-COURTADE,43.3343,3.155,25,31/03/2026,0.0,11.5
BEZIERS-COURTADE,43.3343,3.155,25,01/04/2026,0.0,11.95
BEZIERS-VIAS,43.322,3.3526,15,18/03/2026,0.0,11.0
BEZIERS-VIAS,43.322,3.3526,15,19/03/2026,0.0,12.3
BEZIERS-VIAS,43.322,3.3526,15,20/03/2026,0.0,9.8
