FECHA,NOM_POSTE,LAT,LON,ALT,RR,TM
2026-03-27,BEDARIEUX,43.639833,3.146,373,0.0,7.1
2026-03-28,BEDARIEUX,43.639833,3.146,373,0.0,7.4
2026-03-29,BEDARIEUX,43.639833,3.146,373,0.0,8.1
2026-03-30,BEDARIEUX,43.639833,3.146,373,0.0,7.75
2026-03-31,BEDARIEUX,43.639833,3.146,373,0.7,9.45
2026-04-01,BEDARIEUX,43.639833,3.146,373,0.5,8.45
2026-04-02,BEDARIEUX,43.639833,3.146,373,0.0,9.05
2026-04-03,BEDARIEUX,43.639833,3.146,373,0.0,11.5
2026-04-04,BEDARIEUX,43.639833,3.146,373,0.0,12.15
2026-04-05,BEDARIEUX,43.639833,3.146,373,0.0,10.8
2026-04-06,BEDARIEUX,43.639833,3.146,373,0.0,12.25
2026-04-07,BEDARIEUX,43.639833,3.146,373,0.0,12.65
2026-04-08,BEDARIEUX,43.639833,3.146,373,0.0,13.0
2026-04-09,BEDARIEUX,43.639833,3.146,373,0.8,11.9
2026-04-10,BEDARIEUX,43.639833,3.146,373,,
2026-03-27,BEZIERS-COURTADE,43.334333,3.155,25,0.0,10.0
2026-03-28,BEZIERS-COURTADE,43.334333,3.155,25,0.0,9.25
2026-03-29,BEZIERS-COURTADE,43.334333,3.155,25,0.0,10.5
2026-03-30,BEZIERS-COURTADE,43.334333,3.155,25,0.0,10.05
2026-03-31,BEZIERS-COURTADE,43.334333,3.155,25,0.0,11.8
2026-04-01,BEZIERS-COURTADE,43.334333,3.155,25,0.0,11.3
2026-04-02,BEZIERS-COURTADE,43.334333,3.155,25,0.0,10.35
2026-04-03,BEZIERS-COURTADE,43.334333,3.155,25,0.0,13.2
2026-04-04,BEZIERS-COURTADE,43.334333,3.155,25,0.0,13.25
2026-04-05,BEZIERS-COURTADE,43.334333,3.155,25,0.0,12.4
2026-04-06,BEZIERS-COURTADE,43.334333,3.155,25,0.0,12.5
2026-04-07,BEZIERS-COURTADE,43.334333,3.155,25,0.0,13.1
2026-04-08,BEZIERS-COURTADE,43.334333,3.155,25,0.0,13.35
2026-04-09,BEZIERS-COURTADE,43.334333,3.155,25,0.2,13.0
2026-04-10,BEZIERS-COURTADE,43.334333,3.155,25,,
2026-03-27,BEZIERS-VIAS,43.322,3.352667,15,0.0,9.9
2026-03-28,BEZIERS-VIAS,43.322,3.352667,15,0.0,10.1
2026-03-29,BEZIERS-VIAS,43.322,3.352667,15,0.0,10.7
2026-03-30,BEZIERS-VIAS,43.322,3.352667,15,0.0,10.55
2026-03-31,BEZIERS-VIAS,43.322,3.352667,15,0.0,12.0
2026-04-01,BEZIERS-VIAS,43.322,3.352667,15,0.0,11.2
2026-04-02,BEZIERS-VIAS,43.322,3.352667,15,0.0,10.6
2026-04-03,BEZIERS-VIAS,43.322,3.352667,15,0.0,13.1
2026-04-04,BEZIERS-VIAS,43.322,3.352667,15,0.0,13.3
2026-04-05,BEZIERS-VIAS,43.322,3.352667,15,0.0,12.55
2026-04-06,BEZIERS-VIAS,43.322,3.352667,15,0.0,12.65
2026-04-07,BEZIERS-VIAS,43.322,3.352667,15,0.0,13.3
2026-04-08,BEZIERS-VIAS,43.322,3.352667,15,0.0,13.55
2026-04-09,BEZIERS-VIAS,43.322,3.352667,15,0.2,13.3
2026-04-10,BEZIERS-VIAS,43.322,3.352667,15,,
2026-03-27,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.0,1.95
2026-03-28,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.6,1.8
2026-03-29,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.0,2.25
2026-03-30,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,2.2,2.15
2026-03-31,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.6,2.2
2026-04-01,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.6,1.7
2026-04-02,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.0,3.15
2026-04-03,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.2,5.95
2026-04-04,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.0,6.45
2026-04-05,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.2,5.6
2026-04-06,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.0,7.25
2026-04-07,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.0,7.7
2026-04-08,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,0.2,7.85
2026-04-09,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,1.0,6.5
2026-04-10,CAMBON-ET-SALVERGUES,43.622333,2.865333,955,,
2026-03-27,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,6.6
2026-03-28,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,6.55
2026-03-29,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,7.5
2026-03-30,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.5,6.65
2026-03-31,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.7,8.3
2026-04-01,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.5,7.05
2026-04-02,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,8.5
2026-04-03,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,10.4
2026-04-04,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,11.05
2026-04-05,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,9.7
2026-04-06,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,11.4
2026-04-07,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,11.65
2026-04-08,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.0,12.05
2026-04-09,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,0.8,10.85
2026-04-10,CASTANET LE HAUT_SAPC,43.6675,2.976167,424,,
2026-03-27,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,4.5
2026-03-28,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,5.4
2026-03-29,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,6.35
2026-03-30,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,5.55
2026-03-31,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,6.85
2026-04-01,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,6.9
2026-04-02,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,7.15
2026-04-03,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,9.7
2026-04-04,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,9.55
2026-04-05,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,8.8
2026-04-06,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,10.0
2026-04-07,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,10.3
2026-04-08,LA VACQUERIE_SAPC,43.792,3.457833,620,0.0,10.45
2026-04-09,LA VACQUERIE_SAPC,43.792,3.457833,620,0.8,9.6
2026-04-10,LA VACQUERIE_SAPC,43.792,3.457833,620,,
2026-03-27,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,3.4
2026-03-28,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,3.85
2026-03-29,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,4.55
2026-03-30,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,4.75
2026-03-31,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,5.95
2026-04-01,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,5.7
2026-04-02,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,5.6
2026-04-03,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,8.1
2026-04-04,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,8.4
2026-04-05,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,7.75
2026-04-06,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,9.05
2026-04-07,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,9.45
2026-04-08,LE CAYLAR_SAPC,43.867167,3.3085,729,0.0,9.55
2026-04-09,LE CAYLAR_SAPC,43.867167,3.3085,729,0.6,8.5
2026-04-10,LE CAYLAR_SAPC,43.867167,3.3085,729,,
2026-03-27,LES PLANS,43.786,3.246167,846,0.0,3.8
2026-03-28,LES PLANS,43.786,3.246167,846,0.0,4.55
2026-03-29,LES PLANS,43.786,3.246167,846,0.0,5.1
2026-03-30,LES PLANS,43.786,3.246167,846,0.0,4.8
2026-03-31,LES PLANS,43.786,3.246167,846,0.0,5.3
2026-04-01,LES PLANS,43.786,3.246167,846,0.0,5.05
